,coal,natural gas,other,solar,hydro,wind
20191213T23-07,4212,1396,107,0.0,70,310
20191213T22-07,4192,1425,109,0.0,73,367
20191213T21-07,4211,1460,110,0.0,68,372
20191213T20-07,4201,1524,109,0.0,71,411
20191213T19-07,4191,1544,110,1.0,69,547
20191213T18-07,4191,1511,114,2.0,68,566
20191213T17-07,4022,1286,115,76.0,70,699
20191213T16-07,3755,1043,115,81.0,68,946
20191213T15-07,3565,986,113,230.0,69,1134
20191213T14-07,3575,1019,114,211.0,71,1149
20191213T13-07,3623,992,114,327.0,68,1141
20191213T12-07,3641,1026,116,304.0,67,1128
20191213T11-07,3482,893,114,344.0,69,1124
20191213T10-07,3773,1005,112,147.0,66,1269
20191213T09-07,3933,1200,112,59.0,71,1227
20191213T08-07,3988,1183,113,1.0,69,1195
20191213T07-07,4031,1038,111,0.0,70,1333
20191213T06-07,3764,856,112,0.0,67,1370
20191213T05-07,3505,786,109,0.0,67,1352
20191213T04-07,3500,802,110,0.0,67,1167
20191213T03-07,3602,857,111,0.0,68,1107
20191213T02-07,3613,877,112,0.0,66,1266
20191213T01-07,3509,829,110,0.0,67,1272
20191213T00-07,3639,1042,107,0.0,68,1349
20191212T23-07,3861,1193,109,0.0,68,1385
20191212T22-07,3941,1297,110,0.0,70,1180
20191212T21-07,3864,1416,112,0.0,71,1255
20191212T20-07,3871,1436,110,0.0,70,1356
20191212T19-07,3877,1484,110,0.0,68,1413
