,natural gas
20191117T23-08,564
20191117T22-08,565
20191117T21-08,565
20191117T20-08,565
20191117T19-08,564
20191117T18-08,565
20191117T17-08,564
20191117T16-08,567
20191117T15-08,565
20191117T14-08,566
20191117T13-08,565
20191117T12-08,565
20191117T11-08,565
20191117T10-08,565
20191117T09-08,564
20191117T08-08,563
20191117T07-08,565
20191117T06-08,565
20191117T05-08,565
20191117T04-08,566
20191117T03-08,565
20191117T02-08,565
20191117T01-08,564
20191117T00-08,566
20191116T23-08,564
20191116T22-08,570
20191116T21-08,570
20191116T20-08,570
20191116T19-08,569
20191116T18-08,570
20191116T17-08,571
20191116T16-08,571
20191116T15-08,571
20191116T14-08,570
20191116T13-08,571
20191116T12-08,570
20191116T11-08,569
20191116T10-08,569
20191116T09-08,571
20191116T08-08,570
20191116T07-08,570
20191116T06-08,567
20191116T05-08,564
20191116T04-08,566
20191116T03-08,564
20191116T02-08,565
20191116T01-08,563
20191116T00-08,565
20191115T23-08,563
20191115T22-08,532
20191115T21-08,457
20191115T20-08,280
20191115T19-08,286
20191115T18-08,286
20191115T17-08,287
20191115T16-08,286
20191115T15-08,286
20191115T14-08,287
20191115T13-08,291
20191115T12-08,293
20191115T11-08,299
20191115T10-08,559
20191115T09-08,581
20191115T08-08,580
20191115T07-08,582
20191115T06-08,571
20191115T05-08,571
20191115T04-08,570
20191115T03-08,571
20191115T02-08,571
20191115T01-08,572
20191115T00-08,571
20191114T23-08,570
20191114T22-08,572
20191114T21-08,575
20191114T20-08,575
20191114T19-08,575
20191114T18-08,575
20191114T17-08,575
20191114T16-08,576
20191114T15-08,571
20191114T14-08,570
20191114T13-08,571
20191114T12-08,572
20191114T11-08,569
20191114T10-08,570
20191114T09-08,570
20191114T08-08,570
20191114T07-08,569
20191114T06-08,566
20191114T05-08,569
20191114T04-08,565
20191114T03-08,566
20191114T02-08,566
20191114T01-08,566
20191114T00-08,560
20191113T23-08,560
20191113T22-08,571
20191113T21-08,570
20191113T20-08,570
20191113T19-08,570
20191113T18-08,571
20191113T17-08,570
20191113T16-08,570
20191113T15-08,549
20191113T14-08,511
20191113T13-08,490
20191113T12-08,471
20191113T11-08,451
20191113T10-08,449
20191113T09-08,450
20191113T08-08,449
20191113T07-08,451
20191113T06-08,451
20191113T05-08,457
20191113T04-08,529
20191113T03-08,560
20191113T02-08,561
20191113T01-08,560
20191113T00-08,560
20191112T23-08,560
20191112T22-08,570
20191112T21-08,571
20191112T20-08,587
20191112T19-08,587
20191112T18-08,588
20191112T17-08,590
20191112T16-08,590
20191112T15-08,596
20191112T14-08,594
20191112T13-08,599
20191112T12-08,600
20191112T11-08,601
20191112T10-08,603
20191112T09-08,605
20191112T08-08,601
20191112T07-08,603
20191112T06-08,563
20191112T05-08,561
20191112T04-08,561
20191112T03-08,561
20191112T02-08,560
20191112T01-08,559
20191112T00-08,557
20191111T23-08,555
20191111T22-08,564
20191111T21-08,563
20191111T20-08,564
20191111T19-08,563
20191111T18-08,564
20191111T17-08,589
20191111T16-08,589
20191111T15-08,589
20191111T14-08,588
20191111T13-08,564
20191111T12-08,564
20191111T11-08,566
20191111T10-08,598
20191111T09-08,600
20191111T08-08,599
20191111T07-08,598
20191111T06-08,582
20191111T05-08,557
20191111T04-08,557
20191111T03-08,557
20191111T02-08,558
20191111T01-08,556
20191111T00-08,556
20191110T23-08,557
20191110T22-08,556
20191110T21-08,558
20191110T20-08,580
20191110T19-08,582
20191110T18-08,580
20191110T17-08,580
20191110T16-08,557
20191110T15-08,556
20191110T14-08,557
20191110T13-08,555
20191110T12-08,556
20191110T11-08,556
20191110T10-08,557
20191110T09-08,556
20191110T08-08,556
20191110T07-08,558
20191110T06-08,555
20191110T05-08,557
20191110T04-08,555
20191110T03-08,557
20191110T02-08,556
20191110T01-08,556
20191110T00-08,555
20191109T23-08,561
20191109T22-08,564
20191109T21-08,567
20191109T20-08,584
20191109T19-08,588
20191109T18-08,584
20191109T17-08,586
20191109T16-08,586
20191109T15-08,586
20191109T14-08,586
20191109T13-08,586
20191109T12-08,585
20191109T11-08,585
20191109T10-08,587
20191109T09-08,586
20191109T08-08,585
20191109T07-08,585
20191109T06-08,562
20191109T05-08,560
20191109T04-08,560
20191109T03-08,560
20191109T02-08,558
20191109T01-08,514
20191109T00-08,559
20191108T23-08,561
20191108T22-08,564
20191108T21-08,567
