,hydro
20190920T23Z,541
20190920T22Z,625
20190920T21Z,645
20190920T20Z,555
20190920T19Z,549
20190920T18Z,595
20190920T17Z,554
20190920T16Z,543
20190920T15Z,530
20190920T14Z,471
20190920T13Z,332
20190920T12Z,187
20190920T11Z,170
20190920T10Z,182
20190920T09Z,200
20190920T08Z,185
20190920T07Z,310
20190920T06Z,401
20190920T05Z,626
20190920T04Z,682
20190920T03Z,703
20190920T02Z,681
20190920T01Z,689
20190920T00Z,677
20190919T23Z,599
20190919T22Z,615
20190919T21Z,609
20190919T20Z,628
20190919T19Z,649
20190919T18Z,649
20190919T17Z,656
20190919T16Z,658
20190919T15Z,679
20190919T14Z,576
20190919T13Z,474
20190919T12Z,213
20190919T11Z,186
20190919T10Z,199
20190919T09Z,207
20190919T08Z,236
20190919T07Z,409
20190919T06Z,490
20190919T05Z,618
20190919T04Z,670
20190919T03Z,639
20190919T02Z,614
20190919T01Z,652
20190919T00Z,647
20190918T23Z,586
20190918T22Z,566
20190918T21Z,510
20190918T20Z,505
20190918T19Z,610
20190918T18Z,508
20190918T17Z,499
20190918T16Z,512
20190918T15Z,487
20190918T14Z,415
20190918T13Z,360
20190918T12Z,197
20190918T11Z,180
20190918T10Z,190
20190918T09Z,205
20190918T08Z,209
20190918T07Z,305
20190918T06Z,454
20190918T05Z,403
20190918T04Z,604
20190918T03Z,622
20190918T02Z,598
20190918T01Z,670
20190918T00Z,592
20190917T23Z,437
20190917T22Z,430
20190917T21Z,453
20190917T20Z,438
20190917T19Z,426
20190917T18Z,436
20190917T17Z,424
20190917T16Z,417
20190917T15Z,441
20190917T14Z,362
20190917T13Z,388
20190917T12Z,190
20190917T11Z,210
20190917T10Z,183
20190917T09Z,172
20190917T08Z,208
20190917T07Z,215
20190917T06Z,377
20190917T05Z,432
20190917T04Z,492
20190917T03Z,565
20190917T02Z,614
20190917T01Z,576
20190917T00Z,509
20190916T23Z,457
20190916T22Z,382
20190916T21Z,465
20190916T20Z,485
20190916T19Z,495
20190916T18Z,465
20190916T17Z,478
20190916T16Z,470
20190916T15Z,445
20190916T14Z,361
20190916T13Z,219
20190916T12Z,178
20190916T11Z,166
20190916T10Z,190
20190916T09Z,194
20190916T08Z,213
20190916T07Z,206
