,coal,natural gas,petroleum,other,solar,hydro
20191129T05-05,717,781,0,79,0,3
20191129T04-05,688,762,0,82,0,4
20191129T03-05,683,761,0,81,0,5
20191129T02-05,697,746,0,79,0,6
20191129T01-05,758,745,0,81,0,4
20191129T00-05,780,747,0,81,0,6
20191128T23-05,823,742,0,80,0,5
20191128T22-05,782,757,0,83,0,44
20191128T21-05,782,744,0,76,0,74
20191128T20-05,781,744,0,79,0,71
20191128T19-05,776,768,0,81,0,5
20191128T18-05,780,775,0,78,0,6
20191128T17-05,776,768,0,79,0,5
20191128T16-05,793,797,0,80,3,5
20191128T15-05,926,805,0,80,2,4
20191128T14-05,941,810,0,81,3,22
20191128T13-05,942,815,0,81,4,75
20191128T12-05,941,821,0,79,2,74
20191128T11-05,936,828,0,80,3,133
20191128T10-05,937,830,0,80,3,147
20191128T09-05,935,835,0,80,0,151
20191128T08-05,795,837,0,81,1,136
20191128T07-05,755,838,0,80,0,31
20191128T06-05,696,835,-1,79,0,8
20191128T05-05,601,833,0,81,0,6
20191128T04-05,540,834,0,82,0,3
20191128T03-05,528,839,0,78,0,6
20191128T02-05,529,828,0,82,0,6
20191128T01-05,545,827,0,78,0,4
20191128T00-05,638,823,0,79,0,6
20191127T23-05,724,820,-1,80,0,4
20191127T22-05,767,815,0,76,0,9
20191127T21-05,775,803,0,75,0,76
20191127T20-05,770,796,0,74,0,75
20191127T19-05,751,787,0,74,0,76
20191127T18-05,674,781,0,76,0,11
20191127T17-05,604,777,0,76,0,5
20191127T16-05,576,778,0,77,0,6
20191127T15-05,583,777,0,73,0,6
20191127T14-05,580,797,0,75,2,5
20191127T13-05,641,821,0,75,2,6
20191127T12-05,690,825,0,74,1,19
20191127T11-05,678,829,0,74,2,83
20191127T10-05,670,833,0,74,3,144
20191127T09-05,669,835,0,73,0,150
20191127T08-05,667,833,0,80,0,155
20191127T07-05,678,802,0,77,0,115
20191127T06-05,689,775,0,81,0,32
20191127T05-05,769,772,0,81,0,6
20191127T04-05,773,776,0,80,0,5
20191127T03-05,773,777,0,80,0,6
20191127T02-05,772,785,0,81,0,6
20191127T01-05,771,786,0,81,0,6
20191126T16-05,454,776,0,77,2,4
20191126T15-05,450,789,0,79,2,5
20191126T14-05,460,777,0,77,3,7
20191126T13-05,556,773,0,80,2,5
20191126T12-05,700,749,-1,76,3,6
20191126T11-05,801,753,0,78,3,59
20191126T10-05,902,739,0,82,2,154
20191126T09-05,932,781,0,84,1,157
20191126T08-05,897,797,0,77,0,157
20191126T07-05,780,790,0,77,0,120
20191126T06-05,806,721,0,76,0,87
20191126T05-05,843,711,0,78,0,50
20191126T04-05,901,713,0,77,0,8
20191126T03-05,882,610,0,79,0,8
20191126T02-05,828,630,0,75,0,8
20191126T01-05,826,631,0,79,0,7
20191126T00-05,880,650,0,77,0,7
20191125T23-05,841,666,0,80,0,7
20191125T22-05,765,682,0,82,0,45
20191125T21-05,710,679,0,79,0,77
20191125T20-05,708,672,0,80,0,78
20191125T19-05,838,643,0,79,0,11
20191125T18-05,736,644,0,79,0,7
20191125T17-05,623,592,0,78,0,8
20191125T16-05,601,575,0,78,3,8
20191125T15-05,616,611,0,77,3,8
20191125T14-05,664,620,0,77,3,9
20191125T13-05,704,626,0,76,6,10
20191125T12-05,809,638,0,68,4,9
20191125T11-05,836,669,0,79,3,9
20191125T10-05,888,726,0,77,3,38
20191125T09-05,935,767,0,75,2,142
20191125T08-05,945,803,0,77,0,213
20191125T07-05,935,830,0,77,0,139
20191125T06-05,862,676,0,77,0,80
20191125T05-05,775,661,-1,80,0,46
20191125T04-05,692,671,0,74,0,11
20191125T03-05,739,654,0,77,0,12
20191125T02-05,675,668,0,76,0,12
20191125T01-05,668,670,-1,79,0,11
20191125T00-05,676,666,0,77,0,12
20191124T23-05,676,645,0,76,0,25
20191124T22-05,719,616,0,78,0,78
20191124T21-05,759,609,0,75,0,147
20191124T20-05,762,595,0,75,0,149
20191124T19-05,849,593,0,81,0,94
20191124T18-05,743,578,0,78,0,64
20191124T17-05,668,575,0,79,0,11
20191124T16-05,659,575,0,78,3,12
20191124T15-05,660,574,0,79,3,10
20191124T14-05,661,579,0,77,4,12
20191124T13-05,655,590,0,79,5,11
