,hydro,wind
20191001T22Z,652,0
20191001T21Z,671,0
20191001T20Z,731,0
20191001T19Z,761,0
20191001T18Z,828,0
20191001T17Z,797,0
20191001T16Z,738,0
20191001T15Z,760,0
20191001T14Z,695,1
20191001T13Z,460,0
20191001T12Z,392,1
20191001T11Z,296,1
20191001T10Z,231,0
20191001T09Z,250,1
20191001T08Z,425,0
20191001T07Z,564,0
20191001T06Z,515,0
20191001T05Z,619,0
20191001T04Z,729,1
20191001T03Z,816,0
20191001T02Z,931,0
20191001T01Z,759,1
20191001T00Z,775,0
20190930T23Z,935,0
20190930T22Z,986,0
20190930T21Z,989,0
20190930T20Z,927,1
20190930T19Z,899,0
20190930T18Z,945,1
20190930T17Z,958,0
20190930T16Z,974,1
20190930T15Z,1017,0
20190930T14Z,937,1
20190930T13Z,724,1
20190930T12Z,539,1
20190930T11Z,330,2
20190930T10Z,320,1
20190930T09Z,258,1
20190930T08Z,296,1
20190930T07Z,388,1
20190930T06Z,720,0
20190930T05Z,1021,1
20190930T04Z,928,0
20190930T03Z,820,0
20190930T02Z,617,0
20190930T01Z,461,0
20190930T00Z,270,0
20190929T23Z,391,0
20190929T22Z,576,0
20190929T21Z,689,0
20190929T20Z,639,1
20190929T19Z,578,0
20190929T18Z,538,0
20190929T17Z,453,1
20190929T16Z,506,0
20190929T15Z,586,0
20190929T14Z,524,1
20190929T13Z,323,1
20190929T12Z,375,0
20190929T11Z,215,1
20190929T10Z,263,1
20190929T09Z,291,0
20190929T08Z,428,2
20190929T07Z,672,1
20190929T06Z,634,4
20190929T05Z,730,6
20190929T04Z,659,6
20190929T03Z,611,5
20190929T02Z,619,5
20190929T01Z,610,4
20190929T00Z,570,5
20190928T23Z,572,3
20190928T22Z,565,3
20190928T21Z,543,2
20190928T20Z,588,1
20190928T19Z,647,1
20190928T18Z,611,1
20190928T17Z,583,0
20190928T16Z,616,1
20190928T15Z,534,0
20190928T14Z,493,0
20190928T13Z,302,1
20190928T12Z,312,4
20190928T11Z,281,3
20190928T10Z,219,2
20190928T09Z,297,2
20190928T08Z,296,3
20190928T07Z,367,1
20190928T06Z,250,2
20190928T05Z,403,2
20190928T04Z,438,1
20190928T03Z,562,3
20190928T02Z,518,6
20190928T01Z,389,5
20190928T00Z,272,4
20190927T23Z,260,5
20190927T22Z,282,7
20190927T21Z,438,5
20190927T20Z,563,6
20190927T19Z,466,8
20190927T18Z,499,8
20190927T17Z,555,7
20190927T16Z,611,6
20190927T15Z,599,5
20190927T14Z,581,3
20190927T13Z,432,2
20190927T12Z,336,0
20190927T11Z,323,1
20190927T10Z,337,0
20190927T09Z,384,2
20190927T08Z,396,3
20190927T07Z,387,1
20190927T06Z,488,1
20190927T05Z,643,0
20190927T04Z,679,0
20190927T03Z,611,0
20190927T02Z,484,4
20190927T01Z,599,5
20190927T00Z,726,6
20190926T23Z,721,5
20190926T22Z,707,7
20190926T21Z,631,7
20190926T20Z,574,7
20190926T19Z,535,7
20190926T18Z,587,8
20190926T17Z,673,8
20190926T16Z,722,7
20190926T15Z,748,7
20190926T14Z,675,7
20190926T13Z,384,8
20190926T12Z,229,8
20190926T11Z,204,7
20190926T10Z,272,8
20190926T09Z,363,8
20190926T08Z,399,8
20190926T07Z,635,7
20190926T06Z,863,7
20190926T05Z,990,6
20190926T04Z,950,4
20190926T03Z,988,2
20190926T02Z,856,2
20190926T01Z,726,0
20190926T00Z,794,1
20190925T23Z,990,0
20190925T22Z,986,0
20190925T21Z,964,0
20190925T20Z,817,0
20190925T19Z,683,0
20190925T18Z,669,0
20190925T17Z,642,0
20190925T16Z,649,0
20190925T15Z,756,0
20190925T14Z,571,1
20190925T13Z,465,0
20190925T12Z,479,0
20190925T11Z,558,0
20190925T10Z,513,1
20190925T09Z,545,0
20190925T08Z,516,0
20190925T07Z,435,0
20190925T06Z,406,0
20190925T05Z,512,0
