,coal,natural gas,other,hydro
20191028T08Z,135,64,4,0
20191028T07Z,136,63,5,0
20191028T06Z,136,67,5,0
20191028T05Z,136,68,5,0
20191028T04Z,136,69,5,0
20191028T03Z,156,84,5,0
20191028T02Z,186,105,5,0
20191028T01Z,201,105,5,0
20191028T00Z,189,105,4,0
20191027T23Z,183,101,5,0
20191027T22Z,196,94,5,0
20191027T21Z,199,87,5,0
20191027T20Z,180,96,5,0
20191027T19Z,176,90,5,0
20191027T18Z,179,70,4,0
20191027T17Z,176,74,5,0
20191027T16Z,175,83,5,0
20191027T15Z,180,103,5,0
20191027T14Z,152,97,4,0
20191027T13Z,130,68,5,0
20191027T12Z,129,69,5,0
20191027T11Z,131,69,5,0
20191027T10Z,131,69,5,0
20191027T09Z,130,69,4,0
20191027T08Z,129,69,5,0
20191027T07Z,132,67,5,0
20191027T06Z,131,64,5,0
20191027T05Z,128,87,4,0
20191027T04Z,131,106,5,0
20191027T03Z,132,104,5,0
20191027T02Z,130,103,5,0
20191027T01Z,130,212,4,0
20191027T00Z,130,291,5,0
20191026T23Z,131,287,5,0
20191026T22Z,130,284,5,0
20191026T21Z,128,273,5,0
20191026T20Z,138,272,4,0
20191026T19Z,176,274,5,0
20191026T18Z,175,282,5,0
20191026T17Z,176,282,5,0
20191026T16Z,177,282,4,0
20191026T15Z,162,271,5,0
20191026T14Z,139,112,5,0
20191026T13Z,139,101,4,0
20191026T12Z,140,70,5,0
20191026T11Z,141,76,5,0
20191026T10Z,141,68,5,0
20191026T09Z,138,69,5,0
20191026T08Z,140,69,4,0
20191026T07Z,140,75,5,0
20191026T06Z,155,100,5,0
20191026T05Z,192,181,5,0
20191026T04Z,192,199,5,0
20191026T03Z,192,198,5,0
20191026T02Z,197,199,5,0
20191026T01Z,218,198,4,0
20191026T00Z,209,198,5,0
20191025T23Z,210,197,5,0
20191025T22Z,221,197,5,0
20191025T21Z,222,197,5,0
20191025T20Z,221,198,4,0
20191025T19Z,222,195,5,0
20191025T18Z,222,115,5,0
20191025T17Z,221,103,5,0
20191025T16Z,212,104,5,0
20191025T15Z,157,104,4,0
20191025T14Z,137,105,5,0
20191025T13Z,141,105,5,0
20191025T12Z,141,93,5,0
20191025T11Z,139,77,4,0
20191025T10Z,139,66,5,0
20191025T09Z,140,64,5,0
20191025T08Z,140,63,4,0
20191025T07Z,140,64,5,0
20191025T06Z,141,64,5,0
20191025T05Z,141,69,5,0
20191025T04Z,149,90,5,0
20191025T03Z,162,108,4,0
20191025T02Z,163,108,5,0
20191025T01Z,162,108,5,0
20191025T00Z,159,106,4,0
20191024T23Z,160,104,5,0
20191024T22Z,159,104,5,0
20191024T21Z,159,85,5,0
20191024T20Z,161,84,5,0
20191024T19Z,159,72,4,0
20191024T18Z,155,69,5,0
20191024T17Z,160,79,5,0
20191024T16Z,158,82,4,0
20191024T15Z,137,88,5,0
20191024T14Z,135,72,4,0
20191024T13Z,135,114,5,0
20191024T12Z,135,116,5,0
20191024T11Z,135,80,5,0
20191024T10Z,138,66,4,0
20191024T09Z,134,66,5,0
20191024T08Z,135,65,5,0
20191024T07Z,137,66,5,0
20191024T06Z,133,66,5,0
20191024T05Z,137,66,4,0
20191024T04Z,137,66,5,0
20191024T03Z,134,66,5,0
20191024T02Z,136,69,5,0
20191024T01Z,134,82,4,0
20191024T00Z,143,76,5,0
20191023T23Z,164,67,5,0
20191023T22Z,156,91,5,0
20191023T21Z,139,72,4,0
20191023T20Z,140,69,5,0
20191023T19Z,140,69,5,0
20191023T18Z,140,69,5,0
20191023T17Z,141,69,4,0
20191023T16Z,140,75,5,0
