,coal,natural gas,nuclear,petroleum,other,solar
20191020T09Z,523,981,69,0.0,7,0
20191020T08Z,527,1006,66,0.0,8,0
20191020T07Z,523,1057,64,0.0,8,0
20191020T06Z,526,1135,66,0.0,8,0
20191020T05Z,579,1176,67,0.0,8,0
20191020T04Z,783,1095,66,0.0,8,0
20191020T03Z,996,1115,65,0.0,7,0
20191020T02Z,1037,1195,67,0.0,8,0
20191020T01Z,1113,1336,66,0.0,8,0
20191020T00Z,1164,1351,66,0.0,8,0
20191019T23Z,1202,1307,68,0.0,8,1
20191019T22Z,1255,1327,65,0.0,8,2
20191019T21Z,1275,1317,66,0.0,8,8
20191019T20Z,1265,1302,66,0.0,8,14
20191019T19Z,1136,1343,68,0.0,8,15
20191019T18Z,1057,1324,66,0.0,7,10
20191019T17Z,961,1223,65,0.0,8,8
20191019T16Z,854,1276,67,0.0,8,3
20191019T15Z,833,1224,66,0.0,8,2
20191019T14Z,834,1120,66,0.0,8,1
20191019T13Z,828,1007,66,0.0,8,0
20191019T12Z,659,1076,67,0.0,8,0
20191019T11Z,475,1101,66,0.0,8,0
20191019T10Z,386,1119,64,0.0,8,0
20191019T09Z,385,1079,68,0.0,7,0
20191019T08Z,388,1091,65,0.0,8,0
20191019T07Z,386,1126,66,0.0,8,0
20191019T06Z,460,1093,67,0.0,8,0
20191019T05Z,540,1096,67,0.0,8,0
20191019T04Z,637,1116,67,0.0,8,0
20191019T03Z,769,1172,65,0.0,7,0
20191019T02Z,899,1142,67,0.0,8,0
20191019T01Z,1021,1220,65,0.0,8,0
20191019T00Z,1068,1227,67,0.0,8,0
20191018T23Z,1065,1215,66,0.0,8,0
20191018T22Z,1009,1292,66,0.0,8,1
20191018T21Z,1002,1327,65,0.0,8,1
20191018T20Z,1006,1304,69,0.0,8,3
20191018T19Z,995,1304,66,0.0,8,7
20191018T18Z,969,1299,65,0.0,7,7
20191018T17Z,930,1151,67,0.0,8,9
20191018T16Z,847,1146,67,0.0,8,10
20191018T15Z,727,1185,66,0.0,8,5
20191018T14Z,563,1276,65,0.0,8,5
20191018T13Z,491,1273,67,0.0,8,1
20191018T12Z,458,1258,65,0.0,8,0
