,hydro
20190928T13Z,145
20190928T12Z,128
20190928T11Z,125
20190928T10Z,132
20190928T09Z,139
20190928T08Z,139
20190928T07Z,158
20190928T06Z,246
20190928T05Z,260
20190928T04Z,246
20190928T03Z,218
20190928T02Z,193
20190928T01Z,162
20190928T00Z,150
20190927T23Z,140
20190927T22Z,153
20190927T21Z,152
20190927T20Z,215
20190927T19Z,217
20190927T18Z,245
20190927T17Z,275
20190927T16Z,285
20190927T15Z,282
20190927T14Z,246
20190927T13Z,172
20190927T12Z,168
20190927T11Z,163
20190927T10Z,144
20190927T09Z,140
20190927T08Z,140
20190927T07Z,172
20190927T06Z,288
20190927T05Z,289
20190927T04Z,276
20190927T03Z,226
20190927T02Z,237
20190927T01Z,223
20190927T00Z,260
20190926T23Z,260
20190926T22Z,260
20190926T21Z,259
20190926T20Z,253
20190926T19Z,294
20190926T18Z,301
20190926T17Z,338
20190926T16Z,334
20190926T15Z,329
20190926T14Z,171
20190926T13Z,151
20190926T12Z,108
20190926T11Z,147
20190926T10Z,197
20190926T09Z,241
20190926T08Z,241
20190926T07Z,227
20190926T06Z,264
20190926T05Z,408
20190926T04Z,472
20190926T03Z,513
20190926T02Z,503
20190926T01Z,472
20190926T00Z,459
20190925T23Z,453
20190925T22Z,366
20190925T21Z,335
20190925T20Z,332
20190925T19Z,302
20190925T18Z,297
20190925T17Z,320
20190925T16Z,328
20190925T15Z,328
20190925T14Z,241
20190925T13Z,202
20190925T12Z,166
20190925T11Z,180
20190925T10Z,180
20190925T09Z,200
20190925T08Z,232
20190925T07Z,275
20190925T06Z,301
20190925T05Z,288
20190925T04Z,176
20190925T03Z,153
20190925T02Z,174
20190925T01Z,173
20190925T00Z,164
20190924T23Z,182
20190924T22Z,160
20190924T21Z,246
20190924T20Z,260
20190924T19Z,249
20190924T18Z,252
20190924T17Z,248
20190924T16Z,295
20190924T15Z,272
20190924T14Z,173
20190924T13Z,117
20190924T12Z,108
20190924T11Z,108
20190924T10Z,109
20190924T09Z,109
20190924T08Z,109
20190924T07Z,107
20190924T06Z,186
20190924T05Z,293
20190924T04Z,244
20190924T03Z,267
20190924T02Z,249
20190924T01Z,233
20190924T00Z,260
20190923T23Z,282
20190923T22Z,300
20190923T21Z,353
20190923T20Z,369
20190923T19Z,376
20190923T18Z,417
20190923T17Z,400
20190923T16Z,321
20190923T15Z,315
20190923T14Z,183
20190923T13Z,177
20190923T12Z,108
20190923T11Z,110
20190923T10Z,129
20190923T09Z,144
20190923T08Z,144
20190923T07Z,247
20190923T06Z,303
20190923T05Z,347
20190923T04Z,391
20190923T03Z,412
20190923T02Z,233
20190923T01Z,261
20190923T00Z,247
20190922T23Z,237
20190922T22Z,235
20190922T21Z,232
20190922T20Z,213
20190922T19Z,195
20190922T18Z,196
20190922T17Z,161
20190922T16Z,157
