,hydro
20190926T07-07,562
20190926T06-07,460
20190926T05-07,333
20190926T04-07,304
20190926T03-07,338
20190926T02-07,448
20190926T01-07,534
20190926T00-07,636
20190925T23-07,666
20190925T22-07,573
20190925T21-07,399
20190925T20-07,570
20190925T19-07,774
20190925T18-07,876
20190925T17-07,901
20190925T16-07,714
20190925T15-07,540
20190925T14-07,689
20190925T13-07,750
20190925T12-07,791
20190925T11-07,739
20190925T10-07,754
20190925T09-07,747
20190925T08-07,870
20190925T07-07,819
20190925T06-07,604
20190925T05-07,374
20190925T04-07,401
20190925T03-07,308
20190925T02-07,311
20190925T01-07,310
20190925T00-07,305
20190924T23-07,334
20190924T22-07,480
20190924T21-07,387
20190924T20-07,389
20190924T19-07,372
20190924T18-07,463
20190924T17-07,437
20190924T16-07,437
20190924T15-07,438
20190924T14-07,448
20190924T13-07,493
20190924T12-07,488
20190924T11-07,511
20190924T10-07,624
20190924T09-07,692
20190924T08-07,781
20190924T07-07,784
20190924T06-07,390
20190924T05-07,250
20190924T04-07,250
20190924T03-07,242
20190924T02-07,395
20190924T01-07,569
20190924T00-07,746
20190923T23-07,907
20190923T22-07,852
20190923T21-07,879
20190923T20-07,703
20190923T19-07,748
20190923T18-07,505
20190923T17-07,487
20190923T16-07,500
20190923T15-07,484
20190923T14-07,479
20190923T13-07,481
20190923T12-07,480
20190923T11-07,483
20190923T10-07,539
20190923T09-07,763
20190923T08-07,516
20190923T07-07,670
20190923T06-07,375
20190923T05-07,214
20190923T04-07,126
20190923T03-07,125
20190923T02-07,152
20190923T01-07,272
20190923T00-07,495
20190922T23-07,692
20190922T22-07,534
20190922T21-07,688
20190922T20-07,808
20190922T19-07,674
20190922T18-07,560
20190922T17-07,407
20190922T16-07,516
20190922T15-07,522
20190922T14-07,665
20190922T13-07,475
20190922T12-07,516
20190922T11-07,549
20190922T10-07,485
20190922T09-07,380
20190922T08-07,391
20190922T07-07,399
20190922T06-07,385
20190922T05-07,339
20190922T04-07,249
20190922T03-07,248
20190922T02-07,249
20190922T01-07,279
20190922T00-07,483
20190921T23-07,484
20190921T22-07,492
20190921T21-07,823
20190921T20-07,842
20190921T19-07,879
20190921T18-07,780
20190921T17-07,826
20190921T16-07,574
20190921T15-07,275
20190921T14-07,247
20190921T13-07,247
20190921T12-07,248
20190921T11-07,274
20190921T10-07,372
20190921T09-07,452
20190921T08-07,705
20190921T07-07,639
20190921T06-07,460
20190921T05-07,248
20190921T04-07,248
20190921T03-07,248
20190921T02-07,253
20190921T01-07,284
20190921T00-07,576
20190920T23-07,478
20190920T22-07,678
20190920T21-07,683
20190920T20-07,761
20190920T19-07,832
20190920T18-07,764
20190920T17-07,838
20190920T16-07,836
20190920T15-07,903
20190920T14-07,900
20190920T13-07,785
20190920T12-07,727
20190920T11-07,675
20190920T10-07,722
20190920T09-07,711
20190920T08-07,677
20190920T07-07,610
20190920T06-07,444
20190920T05-07,249
20190920T04-07,176
20190920T03-07,173
20190920T02-07,205
20190920T01-07,393
20190920T00-07,433
20190919T23-07,478
20190919T22-07,624
20190919T21-07,691
20190919T20-07,653
20190919T19-07,699
20190919T18-07,640
20190919T17-07,683
20190919T16-07,754
20190919T15-07,626
20190919T14-07,698
20190919T13-07,761
20190919T12-07,705
20190919T11-07,580
20190919T10-07,540
20190919T09-07,612
20190919T08-07,705
20190919T07-07,845
20190919T06-07,664
20190919T05-07,481
20190919T04-07,532
20190919T03-07,502
20190919T02-07,414
20190919T01-07,512
20190919T00-07,475
20190918T23-07,639
20190918T22-07,790
20190918T21-07,897
20190918T20-07,957
20190918T19-07,897
20190918T18-07,851
20190918T17-07,642
20190918T16-07,652
20190918T15-07,545
20190918T14-07,538
20190918T13-07,539
20190918T12-07,518
20190918T11-07,458
20190918T10-07,415
20190918T09-07,411
20190918T08-07,1038
20190918T07-07,534
20190918T06-07,368
20190918T05-07,297
20190918T04-07,298
20190918T03-07,302
20190918T02-07,303
20190918T01-07,310
20190918T00-07,371
20190917T23-07,382
20190917T22-07,513
20190917T21-07,715
20190917T20-07,745
20190917T19-07,576
20190917T18-07,602
