,coal,natural gas,nuclear,other,solar,hydro
20191023T04Z,1941,1487,7177,,-1,-59
20191023T03Z,2180,1585,7178,,0,789
20191023T02Z,2239,2310,7179,,0,967
20191023T01Z,2237,2811,7171,,-1,1406
20191023T00Z,2244,3128,7169,,-1,1548
20191022T23Z,2233,2869,7167,,10,1605
20191022T22Z,2238,2826,7166,,141,1242
20191022T21Z,2222,2817,7164,,261,698
20191022T20Z,2183,2830,7160,,328,235
20191022T19Z,2137,2828,7150,,333,154
20191022T18Z,2134,2813,7152,,238,142
20191022T17Z,2190,2733,7153,,166,221
20191022T16Z,2235,2457,7152,,60,343
20191022T15Z,2232,2105,7162,,51,102
20191022T14Z,2203,1956,7155,,23,65
20191022T13Z,2202,1891,7165,,8,63
20191022T12Z,2167,1704,7163,,0,616
20191022T11Z,2063,1528,7163,,0,591
20191022T10Z,1706,1388,7172,,-1,-467
20191022T09Z,1428,1348,7170,,0,-1207
20191022T08Z,1405,1314,7173,,0,-1277
20191022T07Z,1438,1299,7172,,-1,-1138
20191022T06Z,1559,1336,7167,,0,-1017
20191022T05Z,1570,1334,7169,,-1,-604
20191022T04Z,1779,1504,7165,,-1,-1
20191022T03Z,2078,2020,7168,,0,207
20191022T02Z,2298,2483,7172,,0,917
20191022T01Z,2314,2839,7167,,0,1200
20191022T00Z,2317,2879,7168,,-1,1360
20191021T23Z,2315,2630,7164,,2,1119
20191021T22Z,2327,2454,7164,,35,750
20191021T21Z,2294,2270,7167,,79,520
20191021T20Z,2009,2221,7166,,150,243
20191021T19Z,1906,2238,7173,,181,196
20191021T18Z,1714,2237,7170,,205,229
20191021T17Z,1619,2148,7173,,227,170
20191021T16Z,1719,2026,7177,,256,124
20191021T15Z,1881,1885,7176,,225,142
20191021T14Z,2138,1520,7177,,152,77
20191021T13Z,2337,1480,7179,,46,224
20191021T12Z,2285,1508,7182,,1,528
20191021T11Z,1838,1507,7175,,-1,437
20191021T10Z,1439,1383,7180,,0,-827
20191021T09Z,1047,1246,7182,,-1,-1287
20191021T08Z,963,1195,7177,,0,-1319
20191021T07Z,956,1206,7176,,0,-1330
20191021T06Z,1057,1175,7178,,-2,-1292
20191021T05Z,1180,1307,7176,,0,-1304
20191021T04Z,1394,1348,7178,,-1,-770
20191021T03Z,1763,1463,7170,,-1,-119
20191021T02Z,2075,1528,7181,,0,460
20191021T01Z,2268,1537,7176,,-1,849
20191021T00Z,2234,1492,7175,,-1,1349
20191020T23Z,2134,1471,7171,,9,803
20191020T22Z,2000,1457,7177,,128,560
20191020T21Z,1755,1448,7170,,250,366
20191020T20Z,1591,1468,7172,,330,337
20191020T19Z,1580,1454,7175,,385,295
20191020T18Z,1634,1409,7180,,251,245
20191020T17Z,1652,1386,7176,,283,209
20191020T16Z,1563,1199,7177,,230,199
