,natural gas,other,solar,hydro
20191020T15Z,58,521,26,19
20191020T14Z,58,526,0,20
20191020T13Z,51,523,0,19
20191020T12Z,52,523,0,17
20191020T11Z,54,519,0,17
20191020T10Z,55,522,0,20
20191020T09Z,59,524,0,21
20191020T08Z,59,519,0,20
20191020T07Z,52,518,0,20
20191020T06Z,67,521,0,21
20191020T05Z,93,516,0,21
20191020T04Z,120,513,0,21
20191020T03Z,124,515,0,19
20191020T02Z,127,501,0,23
20191020T01Z,124,501,21,22
20191020T00Z,99,508,91,23
20191019T23Z,89,513,135,21
20191019T22Z,60,516,144,22
20191019T21Z,59,515,150,23
20191019T20Z,59,506,142,23
20191019T19Z,58,452,139,22
20191019T18Z,52,441,141,22
20191019T17Z,58,450,131,25
20191019T16Z,52,499,104,23
20191019T15Z,52,526,26,25
20191019T14Z,59,528,1,23
20191019T13Z,51,529,0,24
20191019T12Z,49,528,0,25
20191019T11Z,51,525,0,23
20191019T10Z,57,529,0,24
20191019T09Z,59,525,0,22
20191019T08Z,59,526,0,24
20191019T07Z,59,526,0,21
20191019T06Z,91,525,0,23
20191019T05Z,93,522,0,23
20191019T04Z,105,515,0,22
20191019T03Z,105,511,0,24
20191019T02Z,105,517,0,22
20191019T01Z,94,523,24,24
20191019T00Z,39,514,100,22
20191018T23Z,39,509,141,24
20191018T22Z,54,513,152,24
20191018T21Z,45,473,155,21
20191018T20Z,53,472,154,26
20191018T19Z,59,468,156,23
20191018T18Z,59,471,153,25
20191018T17Z,59,477,148,24
20191018T16Z,58,474,100,26
20191018T15Z,58,480,27,26
20191018T14Z,59,519,0,25
20191018T13Z,59,512,0,27
20191018T12Z,59,515,0,27
20191018T11Z,59,512,0,26
20191018T10Z,58,515,0,25
20191018T09Z,59,513,0,25
20191018T08Z,78,496,0,24
20191018T07Z,92,473,0,23
20191018T06Z,92,498,0,23
20191018T05Z,120,495,0,25
20191018T04Z,116,494,0,27
20191018T03Z,105,507,0,25
20191018T02Z,104,509,0,24
20191018T01Z,103,509,24,22
20191018T00Z,65,502,95,25
20191017T23Z,58,504,139,25
20191017T22Z,57,507,151,24
20191017T21Z,59,507,153,26
20191017T20Z,57,507,154,24
20191017T19Z,52,488,154,26
20191017T18Z,59,447,153,28
20191017T17Z,57,477,128,29
20191017T16Z,53,517,106,27
20191017T15Z,53,513,28,27
20191017T14Z,58,518,0,25
20191017T13Z,55,514,0,21
20191017T12Z,58,513,0,24
20191017T11Z,59,514,0,24
20191017T10Z,59,510,0,22
20191017T09Z,58,509,0,24
20191017T08Z,59,508,0,22
20191017T07Z,56,517,0,25
20191017T06Z,77,506,0,23
20191017T05Z,110,513,0,24
20191017T04Z,128,508,0,24
20191017T03Z,130,508,0,23
20191017T02Z,127,497,0,25
20191017T01Z,126,496,18,26
20191017T00Z,121,489,88,23
20191016T23Z,109,477,134,24
20191016T22Z,105,467,147,26
20191016T21Z,71,466,146,23
20191016T20Z,53,484,146,23
20191016T19Z,45,441,145,23
20191016T18Z,56,436,144,25
20191016T17Z,52,440,135,24
20191016T16Z,57,497,108,24
20191016T15Z,57,512,27,22
20191016T14Z,58,522,0,23
20191016T13Z,59,521,0,23
20191016T12Z,58,525,0,23
20191016T11Z,55,521,0,24
20191016T10Z,59,520,0,22
20191016T09Z,59,518,0,20
20191016T08Z,59,513,0,23
20191016T07Z,59,514,0,23
20191016T06Z,87,509,0,21
20191016T05Z,104,508,0,21
20191016T04Z,105,510,0,22
20191016T03Z,112,509,0,23
20191016T02Z,132,508,1,21
20191016T01Z,142,500,24,22
20191016T00Z,131,507,98,22
20191015T23Z,79,502,135,22
20191015T22Z,72,507,147,22
20191015T21Z,64,513,150,21
20191015T20Z,64,501,146,24
20191015T19Z,59,472,150,22
20191015T18Z,59,456,148,23
20191015T17Z,56,459,141,22
20191015T16Z,55,485,106,22
20191015T15Z,55,521,27,22
20191015T14Z,59,525,0,24
20191015T13Z,58,524,0,22
20191015T12Z,44,528,0,23
20191015T11Z,45,521,0,22
20191015T10Z,50,519,0,23
20191015T09Z,56,523,0,22
20191015T08Z,56,523,0,23
20191015T07Z,0,0,0,0
20191015T06Z,0,0,0,0
20191015T05Z,0,0,0,0
20191015T04Z,0,0,0,0
20191015T03Z,0,0,0,0
20191015T02Z,0,0,0,0
20191015T01Z,0,0,0,0
20191015T00Z,0,0,0,0
20191014T23Z,0,0,0,0
20191014T22Z,0,0,0,0
20191014T21Z,0,0,0,0
20191014T20Z,0,0,0,0
20191014T19Z,0,0,0,0
20191014T18Z,0,0,0,0
20191014T17Z,0,0,0,0
20191014T16Z,0,0,0,0
20191014T15Z,0,0,0,0
20191014T14Z,0,0,0,0
20191014T13Z,0,0,0,0
20191014T12Z,0,0,0,0
20191014T11Z,0,0,0,0
20191014T10Z,0,0,0,0
20191014T09Z,0,0,0,0
20191014T08Z,0,0,0,0
20191014T07Z,56,518,0,16
20191014T06Z,48,522,0,15
20191014T05Z,91,519,0,17
20191014T04Z,135,515,0,14
20191014T03Z,120,510,0,17
20191014T02Z,130,508,0,16
20191014T01Z,124,512,25,15
20191014T00Z,100,508,98,15
20191013T23Z,99,482,138,16
20191013T22Z,60,468,141,17
20191013T21Z,57,447,138,15
20191013T20Z,56,448,139,15
20191013T19Z,56,452,139,15
20191013T18Z,44,449,138,17
20191013T17Z,41,458,131,17
20191013T16Z,56,460,91,18
20191013T15Z,57,528,31,15
20191013T14Z,49,531,0,16
20191013T13Z,40,537,0,18
20191013T12Z,41,530,0,14
20191013T11Z,42,533,0,18
20191013T10Z,41,526,0,15
20191013T09Z,46,532,0,15
20191013T08Z,42,524,0,17
20191013T07Z,41,527,0,16
20191013T06Z,42,526,0,17
20191013T05Z,62,523,0,16
20191013T04Z,92,523,0,15
20191013T03Z,120,518,0,16
20191013T02Z,116,516,0,18
20191013T01Z,55,516,31,15
20191013T00Z,52,520,102,17
20191012T23Z,57,469,131,15
20191012T22Z,59,457,130,18
20191012T21Z,52,456,134,19
20191012T20Z,43,457,133,19
20191012T19Z,58,451,132,20
20191012T18Z,52,455,135,21
20191012T17Z,49,462,119,21
20191012T16Z,47,489,95,20
20191012T15Z,47,535,32,22
20191012T14Z,50,532,1,21
20191012T13Z,41,531,0,19
