,coal,natural gas,petroleum,other,solar
20191017T02Z,185,2371,0,464,0
20191017T01Z,212,2506,0,584,0
20191017T00Z,284,2556,0,645,0
20191016T23Z,315,2573,0,652,17
20191016T22Z,315,2659,0,686,160
20191016T21Z,315,2724,0,696,287
20191016T20Z,315,2735,0,695,293
20191016T19Z,315,2714,0,684,219
20191016T18Z,300,2568,0,643,212
20191016T17Z,194,2398,0,648,260
20191016T16Z,185,2204,0,645,272
20191016T15Z,185,1960,0,595,301
20191016T14Z,185,1773,0,473,304
20191016T13Z,185,1777,0,340,140
20191016T12Z,185,1963,0,250,8
20191016T11Z,185,1989,0,244,0
20191016T10Z,185,1782,0,246,0
20191016T09Z,185,1683,0,246,0
20191016T08Z,185,1702,0,244,0
20191016T07Z,185,1774,0,243,0
20191016T06Z,185,1862,0,245,0
20191016T05Z,185,2008,0,245,0
20191016T04Z,185,2190,0,253,0
20191016T03Z,185,2273,0,325,0
20191016T02Z,185,2411,0,473,0
20191016T01Z,268,2356,0,589,0
20191016T00Z,315,2463,0,661,0
20191015T23Z,315,2557,0,664,13
20191015T22Z,314,2743,0,663,122
20191015T21Z,237,2738,0,662,261
20191015T20Z,225,2664,0,658,307
20191015T19Z,216,2536,0,660,317
20191015T18Z,185,2282,0,693,326
20191015T17Z,189,2203,0,708,321
20191015T16Z,221,1884,0,705,330
20191015T15Z,185,1653,0,651,331
20191015T14Z,185,1721,0,477,210
20191015T13Z,185,1761,0,336,96
20191015T12Z,185,1907,0,257,2
20191015T11Z,185,1921,0,253,0
20191015T10Z,185,1734,0,252,0
20191015T09Z,185,1601,0,255,0
20191015T08Z,185,1619,0,253,0
20191015T07Z,185,1684,0,251,0
20191015T06Z,185,1770,0,251,0
20191015T05Z,185,1902,0,253,0
20191015T04Z,185,2098,0,256,0
20191015T03Z,185,2206,0,325,0
20191015T02Z,185,2356,0,477,0
20191015T01Z,185,2413,0,598,0
20191015T00Z,185,2622,0,651,0
20191014T23Z,185,2769,0,649,37
20191014T22Z,185,2760,0,648,177
20191014T21Z,185,2737,0,650,249
20191014T20Z,185,2664,0,652,274
20191014T19Z,185,2554,0,660,268
20191014T18Z,185,2424,0,656,265
20191014T17Z,185,2281,0,651,264
20191014T16Z,185,2054,0,596,312
20191014T15Z,185,1793,0,596,330
20191014T14Z,185,1659,0,485,303
20191014T13Z,185,1659,0,347,149
20191014T12Z,185,1819,0,264,8
20191014T11Z,185,1839,0,255,0
20191014T10Z,185,1671,0,251,0
20191014T09Z,185,1569,0,252,0
20191014T08Z,185,1562,0,253,0
20191014T07Z,185,1606,0,256,0
20191014T06Z,185,1676,0,259,0
20191014T05Z,185,1787,0,262,0
20191014T04Z,185,1981,0,264,0
20191014T03Z,185,2081,0,331,0
20191014T02Z,185,2220,0,475,0
20191014T01Z,185,2354,0,592,0
20191014T00Z,185,2491,0,655,0
20191013T23Z,185,2602,0,657,42
20191013T22Z,185,2598,0,659,174
20191013T21Z,185,2492,0,657,299
20191013T20Z,185,2496,0,660,227
20191013T19Z,185,2419,0,657,216
20191013T18Z,185,2217,0,653,284
20191013T17Z,185,2022,0,654,332
20191013T16Z,185,1800,0,660,333
20191013T15Z,185,1525,0,608,331
