,solar,hydro,wind
20191017T18Z,0,44,533
20191017T17Z,0,45,533
20191017T16Z,0,21,505
20191017T15Z,0,44,403
20191017T14Z,0,48,377
20191017T13Z,0,39,520
20191017T12Z,0,40,566
20191017T11Z,0,36,470
20191017T10Z,0,41,356
20191017T09Z,0,28,434
20191017T08Z,0,44,396
20191017T07Z,0,46,347
20191017T06Z,0,43,358
20191017T05Z,0,20,416
20191017T04Z,0,45,206
20191017T03Z,0,37,215
20191017T02Z,0,27,419
20191017T01Z,0,24,434
20191017T00Z,0,43,211
20191016T23Z,0,35,258
20191016T22Z,0,33,136
20191016T21Z,0,27,61
20191016T20Z,0,47,19
20191016T19Z,0,48,0
20191016T18Z,0,28,-5
20191016T17Z,0,25,-3
20191016T16Z,0,25,2
20191016T15Z,0,23,7
20191016T14Z,0,25,4
20191016T13Z,0,33,0
20191016T12Z,0,45,2
20191016T11Z,0,45,6
20191016T10Z,0,45,-1
20191016T09Z,0,45,-4
20191016T08Z,0,45,-4
20191016T07Z,0,50,0
20191016T06Z,0,50,-1
20191016T05Z,0,50,9
20191016T04Z,0,47,22
20191016T03Z,0,46,0
20191016T02Z,0,46,-3
20191016T01Z,0,46,-1
20191016T00Z,0,46,4
20191015T23Z,0,46,18
20191015T22Z,0,46,31
20191015T21Z,0,41,14
20191015T20Z,0,43,2
20191015T19Z,0,44,-4
20191015T18Z,0,41,-4
20191015T17Z,0,45,-4
20191015T16Z,0,44,-5
20191015T15Z,0,45,-3
20191015T14Z,0,45,-5
20191015T13Z,0,45,-2
20191015T12Z,0,40,-5
20191015T11Z,0,28,-2
20191015T10Z,0,26,-5
20191015T09Z,0,26,-4
20191015T08Z,0,26,-2
20191015T07Z,0,30,-1
20191015T06Z,0,30,-4
20191015T05Z,0,30,-4
20191015T04Z,0,30,4
20191015T03Z,0,30,10
20191015T02Z,0,28,31
20191015T01Z,0,30,6
20191015T00Z,0,30,-5
20191014T23Z,0,30,-4
20191014T22Z,0,30,-4
20191014T21Z,0,30,-3
20191014T20Z,0,30,-5
20191014T19Z,0,30,-4
20191014T18Z,0,30,-2
20191014T17Z,0,30,3
20191014T16Z,0,30,10
20191014T15Z,0,30,15
20191014T14Z,0,30,23
20191014T13Z,0,22,49
20191014T12Z,0,28,91
20191014T11Z,0,30,122
20191014T10Z,0,30,169
20191014T09Z,0,31,203
20191014T08Z,0,29,241
20191014T07Z,0,30,272
20191014T06Z,0,24,328
20191014T05Z,0,42,406
20191014T04Z,0,49,473
20191014T03Z,0,44,587
20191014T02Z,0,7,616
20191014T01Z,0,18,441
20191014T00Z,0,29,303
20191013T23Z,0,10,236
20191013T22Z,0,16,80
20191013T21Z,0,20,45
20191013T20Z,0,20,20
20191013T19Z,0,20,6
20191013T18Z,0,20,-3
20191013T17Z,0,20,-5
20191013T16Z,0,22,-3
20191013T15Z,0,25,-2
20191013T14Z,0,20,-4
