,coal,natural gas,solar,wind
20191125T15-07,655,-41.0,119.0,73.0
20191125T14-07,654,-3.0,85.0,61.0
20191125T13-07,654,-21.0,86.0,51.0
20191125T12-07,655,-5.0,107.0,56.0
20191125T11-07,654,10.0,105.0,53.0
20191125T10-07,654,85.0,69.0,12.0
20191125T09-07,651,175.0,44.0,0.0
20191125T08-07,715,151.0,16.0,0.0
20191125T07-07,715,177.0,0.0,4.0
20191125T06-07,714,88.0,0.0,1.0
20191125T05-07,655,59.0,0.0,1.0
20191125T04-07,595,76.0,0.0,1.0
20191125T03-07,595,60.0,0.0,-1.0
20191125T02-07,595,63.0,0.0,-1.0
20191125T01-07,595,71.0,0.0,0.0
20191125T00-07,596,87.0,0.0,9.0
20191124T23-07,596,105.0,0.0,35.0
20191124T22-07,705,94.0,0.0,4.0
20191124T21-07,704,136.0,0.0,15.0
20191124T20-07,704,159.0,0.0,35.0
20191124T19-07,704,220.0,0.0,2.0
20191124T18-07,704,225.0,0.0,24.0
20191124T17-07,638,230.0,8.0,25.0
20191124T16-07,566,133.0,99.0,29.0
20191124T15-07,504,88.0,150.0,32.0
20191124T14-07,504,55.0,153.0,19.0
20191124T13-07,503,46.0,150.0,11.0
20191124T12-07,575,-22.0,149.0,0.0
20191124T11-07,575,-11.0,137.0,-1.0
20191124T10-07,616,24.0,93.0,-1.0
20191124T09-07,715,15.0,83.0,3.0
20191124T08-07,656,142.0,15.0,8.0
20191124T07-07,723,44.0,0.0,18.0
20191124T06-07,724,3.0,0.0,23.0
20191124T05-07,724,-25.0,0.0,9.0
20191124T04-07,656,25.0,0.0,5.0
20191124T03-07,655,22.0,0.0,7.0
20191124T02-07,655,15.0,0.0,16.0
20191124T01-07,595,91.0,0.0,16.0
20191124T00-07,595,98.0,0.0,22.0
20191123T23-07,596,139.0,0.0,25.0
20191123T22-07,595,186.0,0.0,27.0
20191123T21-07,704,122.0,0.0,26.0
20191123T20-07,705,157.0,0.0,15.0
20191123T19-07,704,178.0,0.0,17.0
20191123T18-07,704,201.0,0.0,18.0
20191123T17-07,705,135.0,5.0,17.0
20191123T16-07,674,49.0,66.0,17.0
20191123T15-07,575,10.0,147.0,14.0
20191123T14-07,575,20.0,112.0,20.0
20191123T13-07,575,49.0,108.0,20.0
20191123T12-07,660,-75.0,136.0,36.0
20191123T11-07,660,-109.0,149.0,35.0
20191123T10-07,659,-116.0,157.0,42.0
20191123T09-07,655,-37.0,142.0,35.0
20191123T08-07,654,97.0,33.0,36.0
20191123T07-07,673,108.0,0.0,29.0
20191123T06-07,675,71.0,0.0,29.0
20191123T05-07,594,105.0,0.0,34.0
20191123T04-07,705,-24.0,0.0,25.0
20191123T03-07,704,-26.0,0.0,17.0
20191123T02-07,705,-29.0,0.0,14.0
20191123T01-07,704,-9.0,0.0,12.0
20191123T00-07,705,10.0,0.0,13.0
20191122T23-07,705,56.0,0.0,13.0
20191122T22-07,704,114.0,0.0,9.0
20191122T21-07,704,160.0,0.0,6.0
20191122T20-07,704,191.0,0.0,11.0
20191122T19-07,724,179.0,0.0,20.0
20191122T18-07,724,208.0,0.0,8.0
20191122T17-07,724,114.0,7.0,24.0
20191122T16-07,635,52.0,103.0,10.0
20191122T15-07,575,5.0,155.0,8.0
20191122T14-07,575,19.0,119.0,7.0
20191122T13-07,609,-47.0,140.0,10.0
20191122T12-07,610,-53.0,142.0,12.0
20191122T11-07,575,-13.0,153.0,4.0
20191122T10-07,575,6.0,156.0,2.0
20191122T09-07,595,53.0,140.0,-1.0
20191122T08-07,650,168.0,44.0,1.0
20191122T07-07,724,180.0,0.0,1.0
20191122T06-07,724,89.0,0.0,-1.0
20191122T05-07,724,-3.0,0.0,7.0
20191122T04-07,674,8.0,0.0,2.0
20191122T03-07,675,-8.0,0.0,0.0
20191122T02-07,575,97.0,0.0,-1.0
20191122T01-07,575,113.0,0.0,0.0
20191122T00-07,595,118.0,0.0,3.0
20191121T23-07,594,174.0,0.0,-1.0
20191121T22-07,595,236.0,0.0,4.0
20191121T21-07,694,213.0,0.0,-1.0
20191121T20-07,695,227.0,0.0,22.0
20191121T19-07,714,204.0,0.0,47.0
