,natural gas,hydro
20191130T08-08,0,0.0
20191130T07-08,0,0.0
20191130T06-08,0,0.0
20191130T05-08,0,0.0
20191130T04-08,0,0.0
20191130T03-08,0,0.0
20191130T02-08,0,0.0
20191130T01-08,0,0.0
20191130T00-08,0,0.0
20191129T23-08,0,0.0
20191129T22-08,0,0.0
20191129T21-08,0,0.0
20191129T20-08,0,0.0
20191129T19-08,0,0.0
20191129T18-08,0,0.0
20191129T17-08,0,0.0
20191129T16-08,0,0.0
20191129T15-08,0,0.0
20191129T14-08,0,0.0
20191129T13-08,0,0.0
20191129T12-08,0,0.0
20191129T11-08,0,0.0
20191129T10-08,0,0.0
20191129T09-08,0,0.0
20191129T08-08,0,0.0
20191129T07-08,0,0.0
20191129T06-08,0,0.0
20191129T05-08,0,0.0
20191129T04-08,0,0.0
20191129T03-08,0,0.0
20191129T02-08,0,0.0
20191129T01-08,0,0.0
20191129T00-08,67,13.0
20191128T23-08,74,13.0
20191128T22-08,102,13.0
20191128T21-08,122,13.0
20191128T20-08,128,13.0
20191128T19-08,122,13.0
20191128T18-08,116,15.0
20191128T17-08,111,15.0
20191128T16-08,121,15.0
20191128T15-08,121,15.0
20191128T14-08,124,15.0
20191128T13-08,125,15.0
20191128T12-08,129,14.0
20191128T11-08,103,5.0
20191128T10-08,103,3.0
20191128T09-08,111,3.0
20191128T08-08,122,13.0
20191128T07-08,115,14.0
20191128T06-08,110,14.0
20191128T05-08,80,14.0
20191128T04-08,79,14.0
20191128T03-08,74,14.0
20191128T02-08,84,14.0
20191128T01-08,90,14.0
20191128T00-08,115,14.0
20191127T23-08,214,14.0
20191127T22-08,260,14.0
20191127T21-08,290,13.0
20191127T20-08,288,14.0
20191127T19-08,288,14.0
20191127T18-08,287,14.0
20191127T17-08,255,14.0
20191127T16-08,229,16.0
20191127T15-08,218,18.0
20191127T14-08,242,3.0
20191127T13-08,255,3.0
20191127T12-08,266,3.0
20191127T11-08,266,13.0
20191127T10-08,261,13.0
20191127T09-08,231,13.0
20191127T08-08,235,13.0
20191127T07-08,244,14.0
20191127T06-08,232,14.0
20191127T05-08,229,14.0
20191127T04-08,229,14.0
20191127T03-08,229,13.0
20191127T02-08,229,2.0
20191127T01-08,230,2.0
20191127T00-08,231,7.0
20191126T23-08,261,14.0
20191126T22-08,262,14.0
20191126T21-08,275,14.0
20191126T20-08,309,14.0
20191126T19-08,310,13.0
20191126T18-08,309,2.0
20191126T17-08,289,2.0
20191126T16-08,270,11.0
20191126T15-08,259,13.0
20191126T14-08,261,13.0
20191126T13-08,266,13.0
20191126T12-08,280,13.0
20191126T11-08,281,13.0
20191126T10-08,270,14.0
20191126T09-08,269,14.0
20191126T08-08,265,14.0
20191126T07-08,260,14.0
20191126T06-08,232,14.0
20191126T05-08,214,13.0
20191126T04-08,211,14.0
20191126T03-08,213,10.0
20191126T02-08,217,2.0
20191126T01-08,223,2.0
20191126T00-08,258,2.0
20191125T23-08,279,4.0
20191125T22-08,267,14.0
20191125T21-08,269,14.0
20191125T20-08,268,14.0
20191125T19-08,263,14.0
20191125T18-08,258,14.0
20191125T17-08,256,14.0
20191125T16-08,241,14.0
20191125T15-08,220,14.0
20191125T14-08,220,5.0
20191125T13-08,222,2.0
