,Total interchange
20191007T04Z,-7879
20191007T03Z,-8065
20191007T02Z,-7757
20191007T01Z,-6060
20191007T00Z,-4374
20191006T23Z,-3261
20191006T22Z,-2821
20191006T21Z,-2116
20191006T20Z,-2234
20191006T19Z,-2543
20191006T18Z,-2397
20191006T17Z,-2432
20191006T16Z,-3708
20191006T15Z,-4985
20191006T14Z,-5511
20191006T13Z,-5058
20191006T12Z,-4925
20191006T11Z,-5107
20191006T10Z,-5209
20191006T09Z,-5496
20191006T08Z,-5572
20191006T07Z,-6031
20191006T06Z,-6684
20191006T05Z,-7319
20191006T04Z,-7789
20191006T03Z,-8111
20191006T02Z,-7840
20191006T01Z,-6142
20191006T00Z,-4691
20191005T23Z,-4107
20191005T22Z,-3611
20191005T21Z,-3354
20191005T20Z,-3241
20191005T19Z,-3229
20191005T18Z,-3452
20191005T17Z,-3958
20191005T16Z,-4936
20191005T15Z,-6069
20191005T14Z,-6449
20191005T13Z,-6170
20191005T12Z,-5967
20191005T11Z,-5688
20191005T10Z,-5658
20191005T09Z,-6007
20191005T08Z,-5872
20191005T07Z,-6190
20191005T06Z,-6747
20191005T05Z,-7793
20191005T04Z,-8407
20191005T03Z,-8011
20191005T02Z,-7737
20191005T01Z,-5937
20191005T00Z,-4159
20191004T23Z,-3940
20191004T22Z,-3929
20191004T21Z,-3641
20191004T20Z,-3052
20191004T19Z,-3312
20191004T18Z,-3290
20191004T17Z,-4344
20191004T16Z,-5497
20191004T15Z,-7181
20191004T14Z,-8087
20191004T13Z,-6901
20191004T12Z,-6523
20191004T11Z,-6145
20191004T10Z,-5437
20191004T09Z,-5431
20191004T08Z,-5252
20191004T07Z,-5228
20191004T06Z,-5626
20191004T05Z,-6454
20191004T04Z,-7204
20191004T03Z,-7452
20191004T02Z,-7118
20191004T01Z,-5623
20191004T00Z,-3571
20191003T23Z,-3122
20191003T22Z,-3202
20191003T21Z,-3510
20191003T20Z,-3937
20191003T19Z,-4196
20191003T18Z,-4417
20191003T17Z,-4759
20191003T16Z,-5304
20191003T15Z,-6876
20191003T14Z,-7518
20191003T13Z,-6518
20191003T12Z,-5881
20191003T11Z,-5841
20191003T10Z,-6184
20191003T09Z,-6334
20191003T08Z,-6465
20191003T07Z,-6857
20191003T06Z,-7577
20191003T05Z,-8390
20191003T04Z,-8757
20191003T03Z,-8876
20191003T02Z,-8347
20191003T01Z,-6994
20191003T00Z,-4594
20191002T23Z,-3693
20191002T22Z,-3409
20191002T21Z,-3428
20191002T20Z,-3141
20191002T19Z,-3077
20191002T18Z,-3260
20191002T17Z,-3688
20191002T16Z,-4450
20191002T15Z,-6607
20191002T14Z,-7804
20191002T13Z,-6427
20191002T12Z,-6456
