,Total interchange
20191026T13Z,-1877
20191026T12Z,-1654
20191026T11Z,-1732
20191026T10Z,-1310
20191026T09Z,-1240
20191026T08Z,-1045
20191026T07Z,-1420
20191026T06Z,-1665
20191026T05Z,-2102
20191026T04Z,-2403
20191026T03Z,-2207
20191026T02Z,-2399
20191026T01Z,-2461
20191026T00Z,-2274
20191025T23Z,-2546
20191025T22Z,-2387
20191025T21Z,-2230
20191025T20Z,-2468
20191025T19Z,-2861
20191025T18Z,-2927
20191025T17Z,-3127
20191025T16Z,-2997
20191025T15Z,-2835
20191025T14Z,-2651
20191025T13Z,-2307
20191025T12Z,-1866
20191025T11Z,-1702
20191025T10Z,-1498
20191025T09Z,-1874
20191025T08Z,-1975
20191025T07Z,-2022
20191025T06Z,-1891
20191025T05Z,-1706
20191025T04Z,-1649
20191025T03Z,-1968
20191025T02Z,-2064
20191025T01Z,-1905
20191025T00Z,-2220
20191024T23Z,-2196
20191024T22Z,-2051
20191024T21Z,-2027
20191024T20Z,-1931
20191024T19Z,-1950
20191024T18Z,-1892
20191024T17Z,-2064
20191024T16Z,-2156
20191024T15Z,-1939
20191024T14Z,-1610
20191024T13Z,-1464
20191024T12Z,-1017
20191024T11Z,-1647
20191024T10Z,-1643
20191024T09Z,-1657
20191024T08Z,-1623
20191024T07Z,-1671
20191024T06Z,-2023
20191024T05Z,-1635
20191024T04Z,-1573
20191024T03Z,-1282
20191024T02Z,-1196
20191024T01Z,-1282
20191024T00Z,-1194
20191023T23Z,-1266
20191023T22Z,-820
20191023T21Z,-669
20191023T20Z,-1079
20191023T19Z,-998
20191023T18Z,-1653
20191023T17Z,-1519
20191023T16Z,-1612
20191023T15Z,-1204
20191023T14Z,-1270
20191023T13Z,-1184
20191023T12Z,-1171
20191023T11Z,-1288
20191023T10Z,-850
20191023T09Z,-1000
20191023T08Z,-923
20191023T07Z,-1085
20191023T06Z,-1134
20191023T05Z,-954
20191023T04Z,-1066
20191023T03Z,-848
20191023T02Z,-1123
20191023T01Z,-1077
20191023T00Z,-1495
20191022T23Z,-1467
20191022T22Z,-1508
20191022T21Z,-1558
20191022T20Z,-1379
20191022T19Z,-1478
20191022T18Z,-1569
20191022T17Z,-1527
20191022T16Z,-1437
20191022T15Z,-1399
20191022T14Z,-1002
20191022T13Z,-717
20191022T12Z,-593
20191022T11Z,-172
20191022T10Z,-102
20191022T09Z,-582
20191022T08Z,-500
20191022T07Z,-413
20191022T06Z,-361
20191022T05Z,-155
20191022T04Z,-629
20191022T03Z,-418
20191022T02Z,-617
20191022T01Z,-802
20191022T00Z,-1247
20191021T23Z,-1713
20191021T22Z,-1321
20191021T21Z,-1341
20191021T20Z,-1402
20191021T19Z,-1427
20191021T18Z,-1752
20191021T17Z,-1943
20191021T16Z,-1556
20191021T15Z,-1295
20191021T14Z,-1378
20191021T13Z,-1265
20191021T12Z,-1264
20191021T11Z,-1176
20191021T10Z,-735
20191021T09Z,-1058
20191021T08Z,-996
20191021T07Z,-916
20191021T06Z,-1007
20191021T05Z,-986
20191021T04Z,-1181
20191021T03Z,-1081
20191021T02Z,-1295
20191021T01Z,-1132
20191021T00Z,-997
20191020T23Z,-1020
20191020T22Z,-1387
20191020T21Z,-1553
20191020T20Z,-1532
20191020T19Z,-1748
20191020T18Z,-1740
20191020T17Z,-1749
20191020T16Z,-1558
20191020T15Z,-1265
20191020T14Z,-1111
20191020T13Z,-755
20191020T12Z,-768
20191020T11Z,-994
20191020T10Z,-745
20191020T09Z,-1077
20191020T08Z,-1245
20191020T07Z,-1288
20191020T06Z,-1170
20191020T05Z,-1447
20191020T04Z,-1587
20191020T03Z,-1796
20191020T02Z,-1561
20191020T01Z,-1571
20191020T00Z,-1907
20191019T23Z,-2167
20191019T22Z,-2301
20191019T21Z,-2172
20191019T20Z,-2302
20191019T19Z,-2352
20191019T18Z,-2413
20191019T17Z,-2528
20191019T16Z,-2207
20191019T15Z,-2143
20191019T14Z,-1643
20191019T13Z,-1494
20191019T12Z,-1939
20191019T11Z,-1763
20191019T10Z,-1400
20191019T09Z,-1500
20191019T08Z,-1791
20191019T07Z,-1862
20191019T06Z,-1848
20191019T05Z,-1927
20191019T04Z,-1571
20191019T03Z,-1811
20191019T02Z,-1346
20191019T01Z,-1322
20191019T00Z,-990
20191018T23Z,-1168
20191018T22Z,-1172
20191018T21Z,-1469
20191018T20Z,-1730
20191018T19Z,-1833
20191018T18Z,-1660
20191018T17Z,-1704
20191018T16Z,-1429
20191018T15Z,-1420
20191018T14Z,-1260
20191018T13Z,-559
20191018T12Z,-321
20191018T11Z,-486
20191018T10Z,-644
20191018T09Z,-729
20191018T08Z,-745
20191018T07Z,-621
20191018T06Z,-565
20191018T05Z,-405
20191018T04Z,-409
20191018T03Z,-300
20191018T02Z,-510
20191018T01Z,-691
20191018T00Z,-661
20191017T23Z,-787
20191017T22Z,-991
20191017T21Z,-1258
20191017T20Z,-1151
20191017T19Z,-1292
20191017T18Z,-1528
20191017T17Z,-1627
20191017T16Z,-1784
20191017T15Z,-1719
20191017T14Z,-1521
20191017T13Z,-1293
20191017T12Z,-518
20191017T11Z,-338
20191017T10Z,-486
20191017T09Z,-804
20191017T08Z,-904
20191017T07Z,-983
20191017T06Z,-1029
20191017T05Z,-1113
20191017T04Z,-646
20191017T03Z,-842
20191017T02Z,-1324
20191017T01Z,-1619
20191017T00Z,-1859
20191016T23Z,-1911
20191016T22Z,-1725
20191016T21Z,-2078
20191016T20Z,-2182
20191016T19Z,-2294
20191016T18Z,-2285
20191016T17Z,-2196
20191016T16Z,-1801
20191016T15Z,-1424
20191016T14Z,-1407
20191016T13Z,-1309
20191016T12Z,-1227
20191016T11Z,-1117
20191016T10Z,-1190
20191016T09Z,-1369
20191016T08Z,-1360
20191016T07Z,-1445
20191016T06Z,-1488
20191016T05Z,-1108
20191016T04Z,-1027
20191016T03Z,-1388
20191016T02Z,-1733
20191016T01Z,-1488
20191016T00Z,-1636
20191015T23Z,-1719
20191015T22Z,-1802
20191015T21Z,-2012
20191015T20Z,-1976
20191015T19Z,-2055
20191015T18Z,-2064
20191015T17Z,-2091
20191015T16Z,-2291
20191015T15Z,-2361
20191015T14Z,-1944
20191015T13Z,-1436
20191015T12Z,-1481
20191015T11Z,-1367
20191015T10Z,-1535
20191015T09Z,-1395
20191015T08Z,-1385
20191015T07Z,-1375
20191015T06Z,-1397
20191015T05Z,-1399
20191015T04Z,-1274
20191015T03Z,-1481
20191015T02Z,-1847
20191015T01Z,-1808
20191015T00Z,-1585
20191014T23Z,-1901
20191014T22Z,-2206
20191014T21Z,-2508
20191014T20Z,-2589
20191014T19Z,-2402
20191014T18Z,-2053
20191014T17Z,-2141
20191014T16Z,-2004
20191014T15Z,-2043
20191014T14Z,-2024
20191014T13Z,-1902
20191014T12Z,-1182
20191014T11Z,-957
20191014T10Z,-1078
20191014T09Z,-1250
20191014T08Z,-1448
20191014T07Z,-1428
20191014T06Z,-1218
20191014T05Z,-972
20191014T04Z,-1289
20191014T03Z,-1183
20191014T02Z,-1232
20191014T01Z,-1469
20191014T00Z,-1674
20191013T23Z,-1798
20191013T22Z,-1723
20191013T21Z,-1518
20191013T20Z,-1603
20191013T19Z,-1567
20191013T18Z,-1540
20191013T17Z,-1527
20191013T16Z,-1367
20191013T15Z,-1282
20191013T14Z,-1181
20191013T13Z,-1056
20191013T12Z,-1323
20191013T11Z,-1120
20191013T10Z,-1212
20191013T09Z,-1328
20191013T08Z,-1302
20191013T07Z,-1301
20191013T06Z,-1118
20191013T05Z,-1304
20191013T04Z,-1413
20191013T03Z,-1286
20191013T02Z,-1203
20191013T01Z,-1165
20191013T00Z,-1268
20191012T23Z,-1490
20191012T22Z,-1346
20191012T21Z,-1329
20191012T20Z,-1421
20191012T19Z,-1676
20191012T18Z,-1509
20191012T17Z,-1464
20191012T16Z,-980
20191012T15Z,-979
20191012T14Z,-886
20191012T13Z,-513
20191012T12Z,-514
20191012T11Z,-599
20191012T10Z,-805
20191012T09Z,-859
20191012T08Z,-761
20191012T07Z,-606
20191012T06Z,-624
20191012T05Z,-1075
20191012T04Z,-1313
20191012T03Z,-1595
20191012T02Z,-1451
20191012T01Z,-1819
20191012T00Z,-2397
20191011T23Z,-2440
20191011T22Z,-2533
20191011T21Z,-2468
20191011T20Z,-2279
20191011T19Z,-2425
20191011T18Z,-2508
20191011T17Z,-2623
20191011T16Z,-2834
