,Total interchange
20180308T07Z,424
20180308T06Z,667
20180308T05Z,709
20180308T04Z,708
20180308T03Z,706
20180308T02Z,702
20180308T01Z,617
20180308T00Z,492
20180307T23Z,461
20180307T22Z,461
20180307T21Z,466
20180307T20Z,469
20180307T19Z,475
20180307T18Z,480
20180307T17Z,482
20180307T16Z,481
20180307T15Z,529
20180307T14Z,458
20180307T13Z,241
20180307T12Z,226
20180307T11Z,224
20180307T10Z,216
20180307T09Z,200
20180307T08Z,230
20180307T07Z,444
20180307T06Z,534
20180307T05Z,530
20180307T04Z,527
20180307T03Z,522
20180307T02Z,516
20180307T01Z,490
20180307T00Z,460
20180306T23Z,460
20180306T22Z,460
20180306T21Z,460
20180306T20Z,443
20180306T19Z,384
