,Total interchange
20190928T12Z,1031
20190928T11Z,992
20190928T10Z,968
20190928T09Z,990
20190928T08Z,1016
20190928T07Z,1079
20190928T06Z,1168
20190928T05Z,1298
20190928T04Z,1404
20190928T03Z,1544
20190928T02Z,1668
20190928T01Z,1662
20190928T00Z,1595
20190927T23Z,1595
20190927T22Z,1677
20190927T21Z,1629
20190927T20Z,1629
20190927T19Z,1666
20190927T18Z,1689
20190927T17Z,1696
20190927T16Z,1689
20190927T15Z,1605
20190927T14Z,1441
20190927T13Z,1292
20190927T12Z,1259
20190927T11Z,1229
20190927T10Z,1125
20190927T09Z,1056
20190927T08Z,1072
20190927T07Z,1132
20190927T06Z,1206
20190927T05Z,1330
20190927T04Z,1483
20190927T03Z,1658
20190927T02Z,1757
20190927T01Z,1836
20190927T00Z,1762
20190926T23Z,1773
20190926T22Z,1812
20190926T21Z,1796
20190926T20Z,1789
20190926T19Z,1741
20190926T18Z,1736
20190926T17Z,1703
20190926T16Z,1698
20190926T15Z,1522
20190926T14Z,1371
20190926T13Z,1242
20190926T12Z,1209
20190926T11Z,1183
20190926T10Z,1063
20190926T09Z,1010
20190926T08Z,1009
20190926T07Z,1057
20190926T06Z,1154
20190926T05Z,1291
20190926T04Z,1442
20190926T03Z,1636
20190926T02Z,1676
20190926T01Z,1644
20190926T00Z,1631
20190925T23Z,1767
20190925T22Z,1800
20190925T21Z,1787
20190925T20Z,1790
20190925T19Z,1721
20190925T18Z,1652
20190925T17Z,1687
20190925T16Z,1581
20190925T15Z,1452
20190925T14Z,1291
20190925T13Z,1156
20190925T12Z,0
20190925T11Z,1088
20190925T10Z,981
20190925T09Z,902
20190925T08Z,939
20190925T07Z,994
20190925T06Z,1051
20190925T05Z,1132
20190925T04Z,1344
20190925T03Z,1497
20190925T02Z,1632
20190925T01Z,1688
20190925T00Z,1678
20190924T23Z,1771
20190924T22Z,1791
20190924T21Z,1779
20190924T20Z,1798
20190924T19Z,1818
20190924T18Z,1840
20190924T17Z,1827
20190924T16Z,1632
20190924T15Z,1430
20190924T14Z,1256
20190924T13Z,1137
20190924T12Z,1119
20190924T11Z,1031
20190924T10Z,919
20190924T09Z,856
20190924T08Z,872
20190924T07Z,900
20190924T06Z,975
20190924T05Z,1085
20190924T04Z,1268
20190924T03Z,1484
20190924T02Z,1535
20190924T01Z,1575
20190924T00Z,1562
20190923T23Z,1633
20190923T22Z,1704
20190923T21Z,1699
20190923T20Z,1582
20190923T19Z,1652
20190923T18Z,1641
20190923T17Z,1607
20190923T16Z,1533
20190923T15Z,1392
20190923T14Z,1222
20190923T13Z,1092
20190923T12Z,1055
20190923T11Z,1014
20190923T10Z,903
20190923T09Z,883
20190923T08Z,880
20190923T07Z,880
20190923T06Z,953
20190923T05Z,1054
20190923T04Z,1231
20190923T03Z,1455
20190923T02Z,1626
20190923T01Z,1738
20190923T00Z,1741
20190922T23Z,1727
20190922T22Z,1732
20190922T21Z,1728
20190922T20Z,1701
20190922T19Z,1706
20190922T18Z,1710
20190922T17Z,1658
20190922T16Z,1568
20190922T15Z,1488
20190922T14Z,1278
20190922T13Z,1068
20190922T12Z,929
20190922T11Z,858
20190922T10Z,857
20190922T09Z,855
20190922T08Z,873
20190922T07Z,918
20190922T06Z,991
20190922T05Z,1113
20190922T04Z,1289
20190922T03Z,1446
20190922T02Z,1506
20190922T01Z,1563
20190922T00Z,1595
20190921T23Z,1620
20190921T22Z,1607
20190921T21Z,1611
20190921T20Z,1599
20190921T19Z,1572
20190921T18Z,1599
20190921T17Z,1603
20190921T16Z,1533
20190921T15Z,1466
20190921T14Z,1301
20190921T13Z,1117
20190921T12Z,982
20190921T11Z,893
20190921T10Z,906
20190921T09Z,905
20190921T08Z,903
20190921T07Z,943
20190921T06Z,1024
20190921T05Z,1130
20190921T04Z,1278
20190921T03Z,1516
20190921T02Z,1605
20190921T01Z,1636
20190921T00Z,1610
20190920T23Z,1588
20190920T22Z,1628
20190920T21Z,1581
20190920T20Z,1559
20190920T19Z,1539
20190920T18Z,1551
20190920T17Z,1571
20190920T16Z,1570
20190920T15Z,1560
20190920T14Z,1412
20190920T13Z,1300
20190920T12Z,1252
20190920T11Z,1106
20190920T10Z,975
20190920T09Z,908
20190920T08Z,914
20190920T07Z,943
20190920T06Z,1011
20190920T05Z,1129
20190920T04Z,1276
20190920T03Z,1496
20190920T02Z,1683
20190920T01Z,1721
20190920T00Z,1697
20190919T23Z,1683
20190919T22Z,1703
20190919T21Z,1695
20190919T20Z,1661
20190919T19Z,1623
20190919T18Z,1542
20190919T17Z,1523
20190919T16Z,1535
20190919T15Z,1506
20190919T14Z,1382
20190919T13Z,1251
20190919T12Z,1227
20190919T11Z,1159
20190919T10Z,1061
20190919T09Z,1017
20190919T08Z,1042
20190919T07Z,1096
20190919T06Z,1157
20190919T05Z,1258
20190919T04Z,1409
20190919T03Z,1592
20190919T02Z,1643
20190919T01Z,1660
20190919T00Z,1645
20190918T23Z,1689
20190918T22Z,1752
20190918T21Z,1748
20190918T20Z,1808
20190918T19Z,1757
20190918T18Z,1709
20190918T17Z,1678
20190918T16Z,1637
20190918T15Z,1532
20190918T14Z,1368
20190918T13Z,1226
20190918T12Z,1198
20190918T11Z,1182
20190918T10Z,1065
20190918T09Z,1020
20190918T08Z,1032
20190918T07Z,1070
20190918T06Z,1164
20190918T05Z,1294
20190918T04Z,1443
20190918T03Z,1511
20190918T02Z,1537
20190918T01Z,1542
